"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Albania","ALB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-41.6994116955347","-53.6342346880178","-72.518525326366","-49.2182729217977","-47.1951746887382","-41.3904654424333","-37.4069647498638","-34.8533228785624","-50.5439748153341","-12.2582455738246","-0.076429152845332","1.12902956141801","0.851841942518857","-2.26409505682723","-3.81586152482845","-3.31119577155409","-2.51956377512792","0.420610677858244","-0.656852072641821","7.9650583526857","-2.78362383080424","-3.37625065068072","-0.0977559707408288","9.33073227807364","6.63591634528518","6.29130250916267","8.69985703820492","16.6226723052943","38.720022444697","44.0727544110467","50.4719740682095","51.3766192728217","48.8987479608318","45.9068284683986","47.6905542467269","40.8476378403913","47.9166337384817","44.043734885039","39.473758001199","21.2123434330386","31.6006819734896","",
"Albania","ALB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","3.50444575618605","3.98633521370928","5.53273763822282","6.1230313057775","6.91916245952089","7.45971570904735","8.14872719207006","7.9567283505864","10.2637591614659","8.25965463118542","9.72700960277978","9.98508275079277","9.67546752161423","7.96470500322404","6.74108181151762","11.9867517847337","10.1345385495896","8.66995851177501","9.14789279975118","9.16372686460897","16.1690247429667","20.4268465527359","21.4149444158498","22.9139214158182","27.1956805125856","34.7079221877643","35.7122032882039","32.3990911234486","26.0695155781657","22.4674867312745","17.2249080254943","15.3662097432103","21.3589462307266","21.7089106840994","21.3756417940128","22.6943516759494","12.1540564889598","16.1600041147631","21.966071048713","31.9801389245706","16.9936105250322","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","74.6607032875427","77.1741106583994","74.3666339192289","75.3974630495873","75.7464247641652","76.1939197382069","75.8818779112211","78.0247036369265","75.0118130475276","80.9287927914084","78.0379104914866","77.836534442498","78.8759441227688","81.0974774748578","81.4337623759461","77.0583127402526","78.6375113710156","80.3814035334453","79.6938123131685","76.5939750800565","69.8249960719512","56.079290645733","53.4789779579446","54.8469148031933","49.5416411855723","45.453763744009","41.4493402366839","44.0945225488965","57.1696779014208","58.0171797316142","59.9724819682853","62.5053868151022","64.6380906503884","65.675168272297","66.5700926061463","63.6458494002672","65.2155380201995","63.2520602929245","62.0669683432925","62.0294856546758","60.5268958471864","",
"Albania","ALB","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","271.069151601431","225.049479432923","218.190300201831","228.056648129168","240.13583456077","216.78011736326","220.03099355425","216.385580668868","225.103069449835","203.422749423534","207.794657405637","206.603660155995","161.59989044209","144.478433397622","141.871815955258","117.617483073053","115.055420169957","109.341906349422","104.665761905726","127.107346135208","119.602113860483","113.012116537552","121.64855679068","115.179837423845","119.512723134968","113.323777225974","102.747956900859","94.9799068264403","89.7689418719924","87.2203235704844","83.8904429200657","85.9563374877822","",
"Albania","ALB","Energy use (kt of oil equivalent)","EG.USE.COMM.KT.OE","","","","","","","","","","","","1717.818","1941.633","1751.791","1825.893","1988.68","2190.432","2321.835","2594.031","2262.329","3071.557","2696.615","2691.515","2844.307","2957.473","2717.368","2913.6","2842.754","2915.285","2893.65","2672.799","1871.158","1358.193","1330.865","1415.323","1329.417","1418.8","1210.813","1306.228","1746.515","1763.357","1782.831","1974.729","1976.296","2171.629","2172.426","2068.171","2024.608","2060.872","2068.44","2059.103","2173.105","",
"Albania","ALB","Combustible renewables and waste (metric tons of oil equivalent)","EG.USE.CRNW.KT.OE","","","","","","","","","","","","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","375.083","362.952","362.952","362.952","346.427","330.666","315.622","301.246","287.539","274.453","261.94","257.952","255.946","255.946","197.965","232.949","229.964","229.964","214.968","214.968","209.953","204.962","207.971","",
"Albania","ALB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","21.8348509562713","19.3179143535364","21.4114012459249","20.5424414245523","18.8609027093348","17.1236997998568","16.1545932419832","14.4594648252083","16.5795072246344","12.211494040319","13.9094012308023","13.9357573708488","13.1871489259071","12.682550271803","13.8031727760097","12.8735241625481","13.194353081554","12.8660834189453","12.9622794740207","13.5794723059983","19.397186127521","26.7231534840777","26.0302134326171","23.3632888040398","23.7413843812739","21.2324499577107","23.7475976884952","21.0111098521851","14.9978671812152","14.6284615083616","14.3561560237622","12.9610695948659","10.0169711419747","10.7269243503379","10.5855849635385","11.11919662349","10.6177590921304","10.4309243854058","10.1503065111872","9.9539459657919","9.57022325198276","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","782.751933392509","862.442034006716","758.669986388218","771.232849517571","819.53620550962","881.016275073846","911.73309531822","994.668197379077","847.132749088959","1123.14756309109","963.302129605318","939.806948701457","970.63696465031","985.389119805419","882.855685476928","921.376562388824","874.286793344143","873.772716619001","849.971566275252","775.425152355085","540.83415540313","394.037990540951","389.451552111621","418.194303395583","395.912215465931","424.657808953671","363.463759227957","392.796657059964","526.385188886722","533.550603519329","542.539691620786","605.07765054253","610.083704159895","675.216412427473","679.705143407809","650.455580041723","639.439685530579","652.875491667005","656.400687360469","653.653818255235","689.025242851431","",
"Albania","ALB","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","0.3","","0.51","","1.02","","1.29","","1.31","","1.4","","1.79",
"Albania","ALB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","0.57","","0.8","","1.23","","1.44","","1.36","","1.46","","1.81",
